,player_name,B,S,ball,called_strike,missed_call_dre_B,missed_call_dre_S
0,"Arias, Gabriel",12.0,9.0,275,102,-1.9960000000000002,0.792
1,"Bell, Josh",28.0,26.0,562,203,-3.735,2.997
2,"Brennan, Will",14.0,15.0,317,160,-1.434,1.5130000000000001
3,"Calhoun, Kole",1.0,0.0,31,14,-0.11,0.0
4,"Freeman, Tyler",5.0,2.0,118,63,-0.47600000000000003,0.07800000000000001
5,"Fry, David",4.0,6.0,91,41,-0.317,1.236
6,"Gallagher, Cam",7.0,4.0,141,77,-1.194,0.32
7,"Giménez, Andrés",21.0,25.0,506,233,-1.907,2.6260000000000003
8,"Gonzalez, Oscar",5.0,6.0,123,62,-0.376,0.8900000000000001
9,"Kwan, Steven",49.0,42.0,723,465,-5.9049999999999985,4.341
10,"Laureano, Ramón",1.0,1.0,20,7,-0.207,0.155
11,"Naylor, Bo",4.0,13.0,188,77,-0.843,1.542
12,"Naylor, Josh",8.0,18.0,396,136,-1.2730000000000001,3.1809999999999996
13,"Ramírez, José",33.0,30.0,693,282,-3.89,3.1280000000000006
14,"Rocchio, Brayan",5.0,1.0,51,32,-0.424,0.043000000000000003
15,"Rosario, Amed",21.0,15.0,445,223,-1.9850000000000005,1.643
16,"Straw, Myles",29.0,40.0,519,345,-4.813000000000001,5.774000000000001
17,"Tena, José",1.0,2.0,10,4,-0.07500000000000001,0.14100000000000001
18,"Viloria, Meibrys",0.0,2.0,7,1,0.0,0.203
19,"Zunino, Mike",12.0,23.0,212,99,-1.4549999999999998,2.803
